ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
2C877C5BD7F92077,classic_bike,09:43.5,30:12.9,Orleans St & Chestnut St (NEXT Apts),620,Southport Ave & Wrightwood Ave,TA1307000113,41.898203,-87.637536,41.928773,-87.663913,casual
E0671DE92068BE6F,classic_bike,28:03.1,44:54.3,Racine Ave & Wrightwood Ave,TA1309000059,Southport Ave & Irving Park Rd,TA1309000043,41.928887,-87.658971,41.954177,-87.664358,member
48649154E1400C6E,classic_bike,13:35.8,27:53.3,Racine Ave & Wrightwood Ave,TA1309000059,Southport Ave & Irving Park Rd,TA1309000043,41.928887,-87.658971,41.954177,-87.664358,member
CED8F78FCE9ED402,electric_bike,55:46.6,59:28.8,Wells St & Polk St,SL-011,Franklin St & Lake St,TA1307000111,41.872731542263075,-87.63351649,41.885837,-87.6355,member
1A25D37E272C3150,electric_bike,03:45.4,07:58.0,Wells St & Polk St,SL-011,Franklin St & Lake St,TA1307000111,41.872731542263075,-87.63351649,41.885837,-87.6355,member
B4BD0228994CCEA8,classic_bike,03:36.0,15:11.1,DuSable Lake Shore Dr & North Blvd,LF-005,Sheffield Ave & Webster Ave,TA1309000033,41.911722,-87.626804,41.92154,-87.653818,member
08EDABF2300C15F6,electric_bike,59:45.1,07:21.5,Aberdeen St & Monroe St,13156,Desplaines St & Kinzie St,TA1306000003,41.880419,-87.655519,41.88871604,-87.64444785,member
8ACDBFBD14FC948F,electric_bike,12:04.8,20:17.5,Aberdeen St & Monroe St,13156,Desplaines St & Kinzie St,TA1306000003,41.880419,-87.655519,41.88871604,-87.64444785,member
3FC7B2573481B5FD,classic_bike,59:42.6,16:06.1,Halsted St & Fulton St,23003,Leavitt St & Chicago Ave,18058,41.886871,-87.648089,41.895501,-87.682017,member
01549364F4B1C136,classic_bike,37:38.3,54:52.9,Halsted St & Polk St,TA1307000121,Indiana Ave & Roosevelt Rd,SL-005,41.87184,-87.64664,41.867888,-87.623041,member
0977BCD98E17F77D,classic_bike,07:04.9,13:23.9,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.892592119709725,-87.61728913,member
E24B88FB0FDEAE92,electric_bike,49:54.7,52:48.9,Aberdeen St & Monroe St,13156,Desplaines St & Jackson Blvd,15539,41.880419,-87.655519,41.87811890091227,-87.6439476,member
A811B8CEC67DA2E6,electric_bike,28:00.9,41:19.8,Field Blvd & South Water St,15534,Desplaines St & Jackson Blvd,15539,41.88635111,-87.6174773,41.87811890091227,-87.6439476,member
BB780C639CF193CF,classic_bike,37:16.2,40:28.8,Ravenswood Ave & Berteau Ave,TA1309000018,Ashland Ave & Belle Plaine Ave,13249,41.957921,-87.673567,41.956057,-87.668835,member
