ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
D09FD9F62E6A9B3B,electric_bike,01:19.0,39:46.9,Wells St & Hubbard St,TA1307000151,Lake Park Ave & 47th St,TA1308000035,41.889906,-87.634266,41.809443,-87.591875,casual
4C9FE3F306B598A5,electric_bike,06:25.7,14:14.1,Broadway & Ridge Ave,15578,Clark St & Schreiber Ave,KA1504000156,41.98404461,-87.66027383,41.999245,-87.671249,casual
59C8DE9C64B7E60A,classic_bike,34:17.2,47:57.4,DuSable Lake Shore Dr & North Blvd,LF-005,Field Blvd & South Water St,15534,41.911722,-87.626804,41.88634906,-87.61751655,member
A2E86A718355EF1E,electric_bike,48:48.9,53:04.5,Ellis Ave & 58th St,TA1309000011,Lake Park Ave & 56th St,TA1309000063,41.788746,-87.601334,41.79161,-87.58748,member
CAA5FBD869C538F5,classic_bike,30:22.3,50:38.9,Campbell Ave & North Ave,13257,Orleans St & Merchandise Mart Plaza,TA1305000022,41.910535,-87.689556,41.888243,-87.63639,member
6C8F49A741A5CCB9,electric_bike,38:14.6,56:12.9,LaSalle St & Illinois St,13430,Winchester Ave & Elston Ave,KA1504000140,41.890762,-87.631697,41.92409085,-87.67646007,member
AE6744C683807EFE,classic_bike,06:46.7,10:05.6,LaSalle St & Illinois St,13430,Wells St & Randolph St,TA1305000030,41.890762,-87.631697,41.884295,-87.633963,member
CF50105ED1FB58E9,electric_bike,51:22.3,13:43.4,Field Blvd & South Water St,15534,Addison Red Line,Corral 7,41.88624728,-87.6174928,41.9472,-87.654,member
A2C775CD45FEA300,electric_bike,54:08.0,01:15.8,LaSalle St & Illinois St,13430,Wells St & Randolph St,TA1305000030,41.890762,-87.631697,41.884295,-87.633963,casual
ED7CE63D9061EB97,electric_bike,00:28.8,08:57.2,Desplaines St & Kinzie St,TA1306000003,Wells St & Elm St,KA1504000135,41.88871604,-87.64444785,41.903222,-87.634324,member
BE07B615618F6BA7,electric_bike,03:47.5,13:06.5,Desplaines St & Kinzie St,TA1306000003,Sheffield Ave & Kingsbury St,13154,41.88871604,-87.64444785,41.910522,-87.653106,member
DD3032A10B01B94E,classic_bike,28:53.8,51:57.6,Theater on the Lake,TA1308000001,Sheffield Ave & Kingsbury St,13154,41.926277,-87.630834,41.910522,-87.653106,member
82D9198CDD3FE74A,classic_bike,25:12.9,35:27.5,State St & Pearson St,TA1307000061,Wells St & Randolph St,TA1305000030,41.897448,-87.628722,41.884295,-87.633963,member
DB2E12C9549BC2AA,classic_bike,20:31.5,27:05.2,State St & Pearson St,TA1307000061,Wells St & Elm St,KA1504000135,41.897448,-87.628722,41.903222,-87.634324,member
FA4B3C95E1D2447B,classic_bike,26:29.2,30:04.0,Broadway & Sheridan Rd,13323,Clarendon Ave & Junior Ter,13389,41.952833,-87.649993,41.961004,-87.649603,member
0C05FCB1A3CA3B78,electric_bike,27:55.4,34:07.6,Kingsbury St & Erie St,13265,Wells St & Elm St,KA1504000135,41.8939139,-87.6417358,41.903222,-87.634324,member
61D722CCD5FC2F50,electric_bike,49:55.6,54:27.3,Ellis Ave & 58th St,TA1309000011,Blackstone Ave & 59th St,22004,41.788746,-87.601334,41.787877,-87.590461,member
916424101381929A,electric_bike,05:39.6,10:51.0,Michigan Ave & 14th St,TA1307000124,Clark St & Ida B Wells Dr,TA1305000009,41.864059,-87.623727,41.87593267,-87.63058454,member
C95F38B53799BE86,electric_bike,04:28.3,10:50.4,Michigan Ave & 14th St,TA1307000124,Clark St & Ida B Wells Dr,TA1305000009,41.864059,-87.623727,41.87593267,-87.63058454,member
17FFBFDBA90159D1,electric_bike,08:09.2,14:34.8,Michigan Ave & 14th St,TA1307000124,Clark St & Ida B Wells Dr,TA1305000009,41.864059,-87.623727,41.87593267,-87.63058454,member
7FA7CE41FC607572,electric_bike,32:16.2,54:06.3,Michigan Ave & 14th St,TA1307000124,Orleans St & Merchandise Mart Plaza,TA1305000022,41.864059,-87.623727,41.888243,-87.63639,member
FFD2C3FCBC933343,electric_bike,23:37.9,33:59.4,California Ave & Cortez St,17660,Milwaukee Ave & Fullerton Ave,428,41.900363,-87.696704,41.924691,-87.70055,member
3A7BB3E15A6DEF4D,electric_bike,37:04.5,43:12.7,Ashland Ave & Wellington Ave,13269,Winchester Ave & Elston Ave,KA1504000140,41.936083,-87.669807,41.92409085,-87.67646007,casual
595FE1061ECC6774,classic_bike,16:50.0,24:24.0,Clark St & Lincoln Ave,13179,Wells St & Elm St,KA1504000135,41.915689,-87.6346,41.903222,-87.634324,casual
6582696DBC8F433B,classic_bike,22:54.0,26:04.2,Canal St & Madison St,13341,Orleans St & Merchandise Mart Plaza,TA1305000022,41.882409,-87.639767,41.888243,-87.63639,member
F56B3AAD2652C951,electric_bike,22:31.0,32:00.7,Canal St & Madison St,13341,Wells St & Elm St,KA1504000135,41.882409,-87.639767,41.903222,-87.634324,member
D375C410364A8801,electric_bike,48:20.6,06:18.6,Francisco Ave & Chicago Ave,411,Sheffield Ave & Kingsbury St,13154,41.895745,-87.698653,41.910522,-87.653106,member
EEF759581AF1EFA9,electric_bike,50:03.1,06:01.5,Orleans St & Chestnut St (NEXT Apts),620,Michigan Ave & Lake St,TA1305000011,41.898203,-87.637536,41.886022,-87.624398,member
68417088B68F2D72,classic_bike,13:37.7,28:44.1,Desplaines St & Kinzie St,TA1306000003,LaSalle Dr & Huron St,KP1705001026,41.88871604,-87.64444785,41.894877,-87.632326,casual
6F5A50A19B4DA3F9,classic_bike,01:19.2,20:19.3,DuSable Lake Shore Dr & North Blvd,LF-005,Broadway & Cornelia Ave,13278,41.911722,-87.626804,41.945529,-87.646439,member
1A03B40C8FC18BC4,classic_bike,16:52.0,19:44.0,Pine Grove Ave & Waveland Ave,TA1307000150,Broadway & Cornelia Ave,13278,41.94947274088333,-87.64645278,41.945529,-87.646439,member
481F6132E53CBC02,classic_bike,45:42.9,11:57.4,MLK Jr Dr & 29th St,TA1307000139,Michigan Ave & Lake St,TA1305000011,41.842052,-87.617,41.886022,-87.624398,member
A35F0B08FC3307F3,electric_bike,40:53.8,11:59.0,Paulina Ave & North Ave,TA1305000037,Broadway & Cornelia Ave,13278,41.90985465216731,-87.66993016,41.945529,-87.646439,casual
8EF33EBE5A71BFA2,electric_bike,22:58.7,29:07.0,LaSalle St & Illinois St,13430,Franklin St & Monroe St,TA1309000007,41.890762,-87.631697,41.880317,-87.635185,member
BDEC60DB46E882AD,classic_bike,39:16.3,49:07.7,Field Blvd & South Water St,15534,Michigan Ave & Jackson Blvd,TA1309000002,41.88634906,-87.61751655,41.8777679,-87.624164,member
FB8037D7B0091512,electric_bike,27:26.4,40:27.7,Field Blvd & South Water St,15534,Michigan Ave & Jackson Blvd,TA1309000002,41.88634906,-87.61751655,41.8777679,-87.624164,casual
9C27BE70F1E2D730,classic_bike,15:56.8,34:24.8,Halsted St & Fulton St,23003,State St & Randolph St,TA1305000029,41.886871,-87.648089,41.88462107257936,-87.62783423,casual
612712678DD1A7EF,electric_bike,43:01.9,53:00.8,Desplaines St & Kinzie St,TA1306000003,Franklin St & Monroe St,TA1309000007,41.88871604,-87.64444785,41.880317,-87.635185,casual
EAF5EF771FEC3A19,classic_bike,14:31.6,01:30.2,Millennium Park,13008,Michigan Ave & Jackson Blvd,TA1309000002,41.8810317,-87.62408432,41.8777679,-87.624164,casual
E9EE21F0E5320C68,electric_bike,59:27.9,00:37.9,State St & Pearson St,TA1307000061,State St & Randolph St,TA1305000029,41.897448,-87.628722,41.88462107257936,-87.62783423,casual
8CE962E4F6269B8B,classic_bike,15:07.3,00:30.0,Millennium Park,13008,Michigan Ave & Jackson Blvd,TA1309000002,41.8810317,-87.62408432,41.8777679,-87.624164,casual
6020414876223514,classic_bike,30:29.1,51:33.2,Damen Ave & Division St,13136,Franklin St & Monroe St,TA1309000007,41.903266,-87.678435,41.880317,-87.635185,casual
77B76796F8465A4D,classic_bike,36:30.1,45:18.5,Kingsbury St & Erie St,13265,Franklin St & Monroe St,TA1309000007,41.8939139,-87.6417358,41.880317,-87.635185,member
10431DE30EFF79F4,classic_bike,18:58.2,29:29.9,Leavitt St & Division St,658,Stave St & Armitage Ave,13266,41.902997,-87.683825,41.917741,-87.691392,casual
8A918883B0808CFC,electric_bike,16:12.2,23:19.9,Clinton St & Washington Blvd,WL-012,State St & Randolph St,TA1305000029,41.88338,-87.64117,41.88462107257936,-87.62783423,member
969C4BB2A2FDF2EC,classic_bike,00:07.9,14:28.2,Clinton St & Washington Blvd,WL-012,State St & Randolph St,TA1305000029,41.88338,-87.64117,41.88462107257936,-87.62783423,casual
EEE8C77EB72A4346,classic_bike,34:27.6,40:11.5,Canal St & Madison St,13341,State St & Randolph St,TA1305000029,41.882409,-87.639767,41.88462107257936,-87.62783423,member
48EFDD8A70033F25,electric_bike,13:34.4,52:53.8,Field Museum,13029,State St & Randolph St,TA1305000029,41.865312,-87.617867,41.88462107257936,-87.62783423,casual
C43DF0E75D515841,electric_bike,05:50.1,12:38.2,Canal St & Madison St,13341,Michigan Ave & Jackson Blvd,TA1309000002,41.882409,-87.639767,41.8777679,-87.624164,member
D16F025596FD0A2F,electric_bike,31:57.3,38:51.6,Canal St & Madison St,13341,State St & Randolph St,TA1305000029,41.882409,-87.639767,41.88462107257936,-87.62783423,member
24FEAA58F7B029BF,classic_bike,12:53.3,23:57.6,Delano Ct & Roosevelt Rd,KA1706005007,Franklin St & Monroe St,TA1309000007,41.867491,-87.63219,41.880317,-87.635185,casual
5488DEE48A338B19,classic_bike,02:38.0,10:49.3,Federal St & Polk St,SL-008,Franklin St & Monroe St,TA1309000007,41.87207763,-87.62954377,41.880317,-87.635185,member
1C5A70EEDDE0E392,electric_bike,24:45.7,30:45.6,Federal St & Polk St,SL-008,Franklin St & Monroe St,TA1309000007,41.87207763,-87.62954377,41.880317,-87.635185,member
72240BBBBAD2CE39,electric_bike,26:04.7,32:21.5,Federal St & Polk St,SL-008,Franklin St & Monroe St,TA1309000007,41.8719964,-87.62969661,41.880317,-87.635185,member
30116ADBE853C956,classic_bike,28:18.2,35:52.2,LaSalle St & Illinois St,13430,Franklin St & Monroe St,TA1309000007,41.890762,-87.631697,41.880317,-87.635185,member
BC2CAF6E783A5314,classic_bike,37:01.0,48:30.3,LaSalle St & Illinois St,13430,State St & Randolph St,TA1305000029,41.890762,-87.631697,41.88462107257936,-87.62783423,casual
3EBA306373D62BAC,electric_bike,41:44.4,48:48.6,Aberdeen St & Monroe St,13156,Franklin St & Monroe St,TA1309000007,41.880419,-87.655519,41.880317,-87.635185,member
B73DC78CA0D28633,electric_bike,38:09.1,42:45.7,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.88462107257936,-87.62783423,member
A087E58F182A961D,electric_bike,31:07.4,35:57.2,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.88462107257936,-87.62783423,member
C09026689C3534FF,electric_bike,30:02.8,35:33.0,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.88462107257936,-87.62783423,member
3BCB3600A2E5A1D5,classic_bike,24:46.8,36:15.3,Field Blvd & South Water St,15534,Michigan Ave & Jackson Blvd,TA1309000002,41.88634906,-87.61751655,41.8777679,-87.624164,member
4E88AF5032790F37,classic_bike,50:14.5,00:54.3,Field Blvd & South Water St,15534,Franklin St & Monroe St,TA1309000007,41.88634906,-87.61751655,41.880317,-87.635185,member
5003BEA0860F82C2,classic_bike,40:02.4,49:34.5,Field Blvd & South Water St,15534,Franklin St & Monroe St,TA1309000007,41.88634906,-87.61751655,41.880317,-87.635185,member
3070DAE452D15A9F,classic_bike,54:37.4,06:26.3,Field Blvd & South Water St,15534,Franklin St & Monroe St,TA1309000007,41.88634906,-87.61751655,41.880317,-87.635185,member
E5A07364B2FE14BE,electric_bike,57:42.9,06:53.7,Leavitt St & Archer Ave,KA1503000068,Marshfield Ave & 44th St,549,41.82877076,-87.68063271,41.81385,-87.66639,casual
DA01FA46E62431CB,electric_bike,19:36.7,51:20.3,Leavitt St & Archer Ave,KA1503000068,Franklin St & Monroe St,TA1309000007,41.82879202,-87.68060446,41.880317,-87.635185,member
EB905E5ADBD4B102,classic_bike,20:19.4,28:46.4,Field Blvd & South Water St,15534,State St & Randolph St,TA1305000029,41.88634906,-87.61751655,41.88462107257936,-87.62783423,casual
2981731D1A1AA063,electric_bike,52:41.1,58:50.7,LaSalle St & Illinois St,13430,Franklin St & Monroe St,TA1309000007,41.890762,-87.631697,41.880317,-87.635185,casual
78F186EBC82C3157,electric_bike,09:45.8,15:50.0,Aberdeen St & Monroe St,13156,Franklin St & Monroe St,TA1309000007,41.880419,-87.655519,41.880317,-87.635185,casual
A29E9EABFAC7F4F3,electric_bike,59:39.6,20:53.8,Rockwell St & Fletcher St,435,Franklin St & Monroe St,TA1309000007,41.938689,-87.692972,41.880317,-87.635185,member
C8468847673C1A99,classic_bike,27:39.0,50:19.6,Sedgwick St & Webster Ave,13191,Franklin St & Monroe St,TA1309000007,41.922167,-87.638888,41.880317,-87.635185,member
02F8F25AE9355BE4,classic_bike,22:11.1,43:57.1,Sedgwick St & Webster Ave,13191,Franklin St & Monroe St,TA1309000007,41.922167,-87.638888,41.880317,-87.635185,member
052C538D7DEE2F61,classic_bike,46:26.5,12:02.3,Sedgwick St & Webster Ave,13191,Franklin St & Monroe St,TA1309000007,41.922167,-87.638888,41.880317,-87.635185,member
953C363B7E69FD25,classic_bike,34:54.7,57:39.5,Sedgwick St & Webster Ave,13191,Franklin St & Monroe St,TA1309000007,41.922167,-87.638888,41.880317,-87.635185,member
C92736C56A89F611,electric_bike,10:54.5,17:51.5,Rockwell St & Fletcher St,435,Stave St & Armitage Ave,13266,41.938689,-87.692972,41.917741,-87.691392,casual
B5DD6C41D63C400F,electric_bike,10:14.2,24:33.5,Wells St & Polk St,SL-011,Hermitage Ave & Polk St,13080,41.872731542263075,-87.63351649,41.871514,-87.669886,member
0123B0E7BA796A44,classic_bike,28:05.8,46:36.3,Halsted St & Fulton St,23003,Calumet Ave & 21st St,15546,41.886871,-87.648089,41.85418425,-87.61915374,member
58BDE75E1E42CBEC,electric_bike,41:41.1,46:05.1,Theater on the Lake,TA1308000001,Clark St & Wrightwood Ave,TA1305000014,41.926277,-87.630834,41.929546,-87.643118,member
